id,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,price_range,number_of_reviews,number_of_reviews_range,minimum_nights,reviews_per_month
2539,2787,John,Brooklyn,Kensington,"Private room",149,101-150,9,0-50,1,0.21
2595,2845,Jennifer,Manhattan,Midtown,"Entire home/apt",225,201-250,45,0-50,1,0.38
3647,4632,Elisabeth,Manhattan,Harlem,"Private room",150,101-150,0,0-50,3,NULL
3831,4869,LisaRoxanne,Brooklyn,"Clinton Hill","Entire home/apt",89,51-100,270,250+,1,4.64
5022,7192,Laura,Manhattan,"East Harlem","Entire home/apt",80,51-100,9,0-50,10,0.1
5099,7322,Chris,Manhattan,"Murray Hill","Entire home/apt",200,151-200,74,51-100,3,0.59
5121,7356,Garon,Brooklyn,Bedford-Stuyvesant,"Private room",60,51-100,49,0-50,45,0.4
5178,8967,Shunichi,Manhattan,"Hell's Kitchen","Private room",79,51-100,430,250+,2,3.47
5203,7490,MaryEllen,Manhattan,"Upper West Side","Private room",79,51-100,118,101-150,2,0.99
5238,7549,Ben,Manhattan,Chinatown,"Entire home/apt",150,101-150,160,151-200,1,1.33
5295,7702,Lena,Manhattan,"Upper West Side","Entire home/apt",135,101-150,53,51-100,5,0.43
5441,7989,Kate,Manhattan,"Hell's Kitchen","Private room",85,51-100,188,151-200,2,1.5
5803,9744,Laurie,Brooklyn,"South Slope","Private room",89,51-100,167,151-200,4,1.34
6021,11528,Claudio,Manhattan,"Upper West Side","Private room",85,51-100,113,101-150,2,0.91
6090,11975,Alina,Manhattan,"West Village","Entire home/apt",120,101-150,27,0-50,90,0.22
6848,15991,"Allen & Irina",Brooklyn,Williamsburg,"Entire home/apt",140,101-150,148,101-150,2,1.2
7097,17571,Jane,Brooklyn,"Fort Greene","Entire home/apt",215,201-250,198,151-200,2,1.72
7322,18946,Doti,Manhattan,Chelsea,"Private room",140,101-150,260,250+,1,2.12
7726,20950,"Adam And Charity",Brooklyn,"Crown Heights","Entire home/apt",99,51-100,53,51-100,3,4.44
7750,17985,Sing,Manhattan,"East Harlem","Entire home/apt",190,151-200,0,0-50,7,NULL
7801,21207,Chaya,Brooklyn,Williamsburg,"Entire home/apt",299,250+,9,0-50,3,0.07
8024,22486,Lisel,Brooklyn,"Park Slope","Private room",130,101-150,130,101-150,2,1.09
