publisher_id,publisher_name
10017,"Holiday House"
10030,"Atheneum Books"
10120,"Alcoholics Anonymous World Services Inc"
10136,"Ecco/Harper Perennial"
10216,"Purple House Press"
10403,"Living Books"
10424,"Lawbook Exchange  Ltd."
10434,"Routledge Taylor & Francis Books Ltd imprint"
10455,"W. W. Norton & Company"
10466,Phoenix
10484,"Vintage Espanol"
10523,"Carroll & Graf"
10534,"Faber and Faber & Penguin India"
10604,"FT Press"
10616,"Russell Enterprises"
10744,Backinprint.com
10766,"Broadview Press Inc"
10835,"CDS Books"
10870,"B Fiction"
10894,"Potomac Books"
10895,"BALLANTINE BOOKS"
11071,"McDougal Littel"
11079,Poppy
11084,"Casa Creacion"
11092,"Simon and Schuster"
11101,"Dafina Books"
11274,Heinemann-Octopus
11357,"Harlequin Historical"
11400,"Veritas Publishing"
11403,"Longman Schools Division (a Pearson Education Company)"
11420,"Avalon Travel"
11472,Marvel
11498,"Dover Publications (NY)"
11512,"Leisure Books"
11522,"Fandemonium Books"
11543,"Helen Marx Books"
11546,Sagebrush
11602,"Children's Press(CT)"
11633,Hyperio
11684,"Harvill Press"
11732,Onyx
11792,"Pantheon Books (NY)"
11810,Aerie
11869,"Nimble Books"
11887,"Tuttle Publishing"
11966,Crescent
12123,"Tachyon Publications"
12131,"One Hour Entertainment"
12160,"Pluto Press"
12219,"Council Press"
12231,"American Diabetes Association"
12274,Klett
12304,"Association for Scottish Literary Studies"
12341,"Fischer (Tb.)"
12360,"Silhouette Desire"
12371,"State University of New York Press"
12476,"Pan MacMillan"
12536,Spectra
12566,"Vintage/Random House (NY)"
12625,"Random House (NY)"
12650,"University of Alaska Press"
12660,"Goldmann Verlag"
12689,"Bantam Starfire"
12693,"Nova Fronteira"
12708,"Plaza & Janes Editores  S.A."
12750,Pimlico
12775,"Delacorte Press"
12786,"Arsenal Pulp Press"
12798,"Management Books 2000"
12878,"Transaction Publishers"
13010,Abacus
13014,"Modern Publishing"
13151,"Xulon Press"
13178,"Gibbs Smith"
13186,"University of Washington Press"
13287,"Cold Spring Harbor Laboratory Press"
13324,"Games Workshop(uk)"
13332,"Robson Books  London"
13508,Kingfisher
13635,"Laurel-Leaf Books"
13655,rbooks
13675,ReganBooks
13683,"Buccaneer Books"
13737,"McFarland & Company"
13741,Benziger
13770,"Piper Taschenbuch"
13794,"Imprint Academic"
13801,"Amereon Ltd"
13811,"Inner Traditions International"
13836,"Xlibris Corporation"
13858,"Arthur A. Levine Books / Scholastic Inc."
13907,"Atheneum Books for Young Readers"
13943,"Naxos Audiobooks"
13983,"Wadsworth Publishing Company"
14030,"New Directions Publishing Corporation"
14046,"Dodd Mead; 1st edition (September 1976)"
14131,"Carole Marsh Mysteries"
14243,Tor
14255,"British Library"
14265,"Shadow Mountain"
14368,"Delta Publishing"
14385,"Grosset & Dunlap"
14386,Viking
14441,"Revive Publishing"
14462,"Kyle Books"
14480,Starfire
14490,"Prestwick House"
14493,"Waterbrook Press"
14513,"Ace Books"
14555,Futura
14556,Patmos
14563,"Albin Michel"
14659,"Bantam Classics"
14694,Earthlight
14781,"Harper & Row"
14788,"Hachette Children's"
14869,"Harcourt Brace & Company"
14899,"Thunder's Mouth Press Books"
14922,"Washington Square Press"
14930,Piatkus
14972,"Destiny Books"
14973,"Pan Books"
15062,"Harvard University Press (Cambridge)"
15072,"University of Texas Press (Austin/London)"
15085,"City Lights"
15118,WaterBrook
15159,"Signet Classic"
15176,"Poseidon Press"
15275,"Cooper Square Publishers"
15309,"Greenwood Press"
15364,"PerfectBound (HarperCollins)"
15447,"Treat Enterprises"
15501,"DK Publishing"
15528,"Farrar Straus and Giroux"
15626,Vision
15661,DEBOLS!LLO
15674,"Rizzoli International Publications"
15677,"Penguin Essential Editions"
15739,"Scholastic Inc."
15768,Corgi
15775,"Joanna Cotler Books/HarperCollinsPublishers"
15779,"Puffin Audiobooks"
15869,"Inner Traditions"
15884,"Large Print Press"
15885,"Beckett Media"
15972,"Spark Publishing"
15984,"Providence Forum Press"
16021,"P & R Publishing"
16035,"Collier Books"
16043,"Harper Perennial Modern Classics"
16057,"Digital Manga Publishing / Dark Horse"
16078,"Methuen Drama"
16155,Crossroad
16420,"Noonday Press"
16515,"Loose Id  LLC"
16531,"Jones Books"
16563,"Trine Day"
16589,"HarperTorch (an imprint of HarperCollins Publishers)"
16603,"Harper Teen"
16638,"Stone Bridge Press"
16662,"Punto de Lectura"
16694,"Council Oak Books"
16717,"Trafalgar Square Publishing"
16756,"Kensington Publishing Corporation"
16775,"Arcade Publishing"
16829,"New Press"
16904,McGraw-Hill
16929,"Zondervan Publishing House"
16935,"OUP Oxford"
16940,Porrua
16955,"NYRB Classics"
16987,"Random House UK Ltd (A Division of Random House Group)"
17058,東立
17080,"Stewart  Tabori and Chang"
17105,Laurel
17137,"Ulysses Press"
17139,"One World/Ballantine"
17264,"Penguin Classics Deluxe Edition"
17448,"Orbis Books"
17558,"Wyatt Book"
17609,"Algonquin Books"
17715,Audiogo
17741,"The Disinformation Company (NYC)"
17792,"The Modern Library New York"
17796,"Sutton Publishing"
17797,"Douglas  McIntyre"
17800,"Deseret Book Company"
17813,"Dodo Press"
17892,"New English Library (Hodder & Stoughton)"
17932,Hodder
17941,"North Point Press"
17969,"Fischer Taschenbuch Verlag"
18056,"Kiepenheuer & Witsch"
18058,Insel
18092,"Dutton Adult"
18111,"Monolith Graphics"
18193,"Fortress Press"
18205,"Listening Library (Audio)"
18225,VeloPress
18385,"New City Press"
18410,"Tom Doherty Tor Fantasy"
18471,"Random House Children's Books"
18486,Speak
18494,"Delmar Thomson Learning"
18526,"Time Life Books"
18606,"Open Heaven Publications"
18633,"The MIT Press"
18679,"Penguin Books in association with Faber & Faber"
18687,"W.W. Norton & Company  Inc. (NY)"
18723,"Harvard University Press (Cambridge  MA)/Wm Heinemann Ltd. (London)"
18748,"Stackpole Books"
18751,"Chicken House"
18752,"Dark Horse Manga"
18808,Carlsen
18824,"Turtleback Books"
18882,"Blanvalet Verlag GmbH"
18889,"Haynes Manuals N. America  Inc."
18905,"Fantagraphics Books"
18934,"Science Fiction Book Club"
19032,"Pocket Books/Star Trek"
19106,"Simon & Schuster (Trade Division)"
19107,"The Audio Partners"
19158,"Duke University Press Books"
19167,"Haus Publishing"
19180,"Disinformation Company"
19201,Sutton
19245,"Swallow Press"
19250,"Henry Holt and Company"
19286,"Cedar Books"
19350,"Pavement Saw Press"
19377,"RH Audio Price-less"
19385,"DAW Books Inc"
19419,TusQuets
19456,"Rufus Publications"
19489,"DK Children"
19520,"Lerner Publications"
19550,"Watkins Publishing"
19602,"ComicsOne Corporation"
19660,"Oberlin College Press"
19685,"Lasser Press"
19783,"HJ Kramer"
19791,"AK Press"
19795,"Atria Books"
19917,"Business Plus"
19920,"Kodansha America"
19943,"Villard Books"
19967,"William Morrow Paperbacks"
20040,"Cornell University Press"
20055,"North Light Books"
20182,"B Books"
20244,"Reaktion Books"
20299,"Hard Crime Case"
20374,"Barnes & Noble Classics"
20445,"Grove Press  Granta"
20538,"Inner Light - Global Communications"
20549,"Simon Pulse"
20566,"Hazelden Publishing"
20584,"Rowohlt Tb."
20602,"Sovereign World"
20623,"Island Press"
20736,"Broadway/Crown Publishing Group"
20758,MacAdam/Cage
20818,"La factoría de ideas"
20824,"McGraw-Hill Humanities/Social Sciences/Languages"
20868,TarcherPerigee
20878,"InterVarsity Press"
20891,Diogenes
20901,"Routledge/Taylor & Francis Ltd."
20905,"Weidenfeld & Nicolson"
20909,"Laurel Leaf"
20925,"Book Publishing Company (TN)"
21040,"Grand Central Publishing (Formerly Warner Books)"
21073,"Dutton Juvenile"
21087,"Bloomsbury UK"
21094,"Acropolis Books (NY)"
21100,"University of Calgary Press"
21121,"Bristol Classical Press"
21181,"Lodestar Books"
21211,"Yoruba Theological Archministry"
21227,"Wordsworth Editions"
21274,"Wizards of the Coast"
21333,"Cosimo Classics"
21372,"Brookline Books"
21392,"Abacus Books (London)"
21443,"Drawn and Quarterly"
21505,"Plume Books"
21514,"Penguin Group (USA)"
21542,"Reader's Digest Association"
21584,"Gaia Books"
21607,"Bright Sky Press"
21637,"Hackett Publishing Company  Inc. (USA)"
21639,"University of South Carolina Press"
21675,"DAW Books"
21786,"Aladdin Paperbacks"
21794,"Ravensburger Buchverlag"
21857,Morrow
21864,Lions
21943,"Reclam  Leipzig"
21949,"Intercultural Publishing"
21951,"Inkling Books"
22086,"Teachers College Press"
22110,"Midnight Ink"
22139,Lulu.com
22187,"Paul S. Eriksson"
22205,"Motilal Banarsidass"
22306,"Taylor Productions Ltd"
22315,"Harlequin American Romance"
22317,"DAW Fantasy"
22325,Digireads.com
22361,"Nation Books"
22378,"Basic Books"
22444,"P. F. Collier and Sons"
22475,"MIT Press"
22481,"Heinemann Drama"
22591,"Harry N. Abrams"
22629,Norton
22668,"Festival Books"
22679,"Phaidon Press"
22695,"Tin House Books"
22697,"Bloomsbury Publishing PLC"
22702,"McClelland & Stewart"
22717,"Owlet Paperbacks"
22758,Griffin
22795,"Melville House Publishing"
22816,"Corgi Books"
22859,"Joanna Cotler Books"
22870,"Penguin UK"
22893,Larousse
22896,"McClelland and Stewart"
22941,"Laurel Leaf Library"
22943,"Vanguard Press"
22965,HarperEntertainment
23021,"McGraw-Hill Professional Publishing"
23030,Harper
23048,"Harlequin Readers' Choice"
23057,"Virago UK"
23083,Cartago
23101,"McGraw-Hill Medical Publishing"
23130,"Vintage Classics"
23157,"Limitless Corporation"
23194,MacMillan
23239,"Waveland Press"
23265,Findakly
23320,"Texas A&M University Press"
23322,"CQ Press"
23333,Vivendi
23356,Brava
23364,"Absolute Press"
23365,Miramax
23378,"Churchill Livingstone"
23427,Sourcebooks
23460,"Harlequin Blaze"
23502,"Backstage Books"
23519,Steidl
23581,"Totem Books"
23627,"IVP Academic"
23654,"Quarry Press"
23661,"Del Rey Fantasy"
23687,"Omohundro Institute and University of North Carolina Press"
23701,"Crossway Books"
23797,"Fourth Estate"
23846,"MacMillan UK"
23849,"Felony & Mayhem"
23865,"New English Library"
23886,Jove
23911,"Abraham Guillen Press"
23928,"Book Publishing Company"
23970,"Harper Audio"
24009,"Keep It Simple Books"
24044,"Penguin/Viking Compass (Non-Classics)"
24057,"Blanvalet Taschenbuch"
24079,Suhrkamp
24118,"National Gallery London"
24258,"W.W. Norton & Company (NYC)"
24264,"Headline Feature"
24344,"Penguin Workshop"
24410,"Penguin Books Canada"
24479,"The Harvill Press"
24500,"Hakusen Sha"
24533,Piemme
24572,Hippo/Scholastic
24623,"NAL Books"
24627,"Blood Moon Productions"
24637,"Northeastern University Press"
24689,"Bradford Book"
24740,"Plaza y Janés"
24774,"Crossing Press"
24790,"Teaching Resources"
24807,Lumen
24813,"American University in Cairo Press"
24823,Sunburst
24872,"Dominion Press"
24898,10/18
24910,Quill
24917,"Harper Collins"
24928,Festival
24963,"Hay House"
24976,"Simon  Schuster Audio"
25000,"Alyson Books"
25040,Newmarket
25055,"Editions Gallimard"
25076,"Abradale Books/Harry N. Abrams"
25105,Cartwheel
25186,"Larousse Kingfisher Chambers"
25235,"Random House Audio Publishing Group"
25242,"Bloomsbury USA Childrens"
25637,"Nelson Reference & Electronic Publishing"
25662,"New York : Penguin Books"
25665,ガンガンコミックス
25670,"AA World Services"
25679,"Random House: Modern Library"
25777,"Simon Schuster"
25780,"HarperPerennial / Perennial Classics"
25790,"Ace Book"
25944,"Paraglyph Press"
26004,Grijalbo
26069,"Center Point"
26162,"Open Court"
26170,"New Directions"
26200,"Diogenes Verlag"
26223,"Disinformation Books"
26301,Sterling
26334,Hachette
26451,"Tom Doherty Associates"
26476,"1st Book Library"
26502,"Norton and Co."
26535,"Mongoose Publishing"
26625,"Cistercian Publications"
26672,"Dhv der Hörverlag"
26709,"Starcatcher Press"
26718,Siloam
26733,HarperCollinsPublishers
26785,"Counterpoint LLC"
26832,"Severn House"
26855,"Geddes & Grosset"
26946,"Editions de l'Olivier"
27012,"Neil Wilson Publishing"
27037,"Dedalus Limited"
27100,"Tin House Magazine"
27151,"Ellora's Cave"
27164,"Douglas & McIntyre"
27203,Roc
27252,"Crown Publishing Group (NY)"
27262,"Touchstone Books"
27300,"DeVorss & Company"
27369,"Bethany House Publishers"
27370,"Ronin Publishing (CA)"
27371,"Santillana USA Publishing Company"
27473,"HarperCollins (SanFrancisco)"
27474,"Beacon Press"
27496,"Random House"
27617,"Simon Publications"
27627,"Nantier Beall Minoustchine Publishing"
27736,"Everyman's Library 234"
27747,"Teacher Created Resources"
27766,"Sinauer Associates"
27785,"Virago Press Ltd"
27818,"Seal Press"
27842,"University Press of America"
27870,"Cumberland House Publishing"
27873,"Harper Paperbacks"
27895,"Pearson Education"
27912,Villard
27946,"Fawcett Coventry"
27998,"No Exit Press"
28021,"RH Audio"
28114,"Gardners Books"
28115,"International Polygonics"
28180,"Soho Press"
28285,"Hearst Communications"
28305,ビブロス
28343,"Running Press Book Publishers"
28412,"Dark Horse Comics"
28414,"Readers Digest."
28447,"Dr. Master Productions Inc."
28502,Diamond/Charter
28503,"Marsilio Publishers"
28509,"Harcourt Brace & company"
28548,Semiotext(e)
28557,"Universal Publishers"
28564,"W.W. Norton  Company"
28657,"Black Swan"
28678,"Walker Books"
28693,"Norma Editorial"
28720,Impact
28780,"Riverrun Press (New York  NY)"
28814,"Carlton Publishing Group"
28875,"Be Beautiful"
28913,"University Of Chicago Press"
29018,"Simon & Schuster; Media Tie-In edition"
29022,"Libros para ninos"
29043,"Archie Comics"
29071,"Penguin Press HC  The"
29139,"Berkley Prime Crime Books"
29170,HarperResource
29204,"Bantam Books  Inc."
29219,"Alison Green Books"
29249,"Pan Australia"
29259,"Atheneum/Richard Jackson Books"
29294,"Naiad Press"
29304,Zebra
29328,Putnam
29347,"Hamish Hamilton Ltd"
29359,"Del Rey/Ballantine Books"
29378,"University of Arizona Press"
29379,"Serpent's Tail"
29478,"Penguin Books (Penguin Classics)"
29510,"Simon & Schuster Childrens Books"
29536,"Atlantic Monthly Press (NYC)"
29658,"Seal Books"
29673,Eos
29695,"Bolchazy-Carducci Publishers"
29698,"Grove Press (NYC)"
29712,"Akashic Books/Punk Planet Books"
29753,"The Guilford Press"
29772,"Atlantic Monthly Press"
29808,"No Starch Press"
29879,Alfaguara
