rating_id,book_id,user_id,rating,rating_date
1,12473,79,4,"2015-03-25 00:00:00"
2,21058,1322,3,"2010-08-26 00:00:00"
3,11974,1049,3,"2017-11-18 00:00:00"
4,10596,575,4,"2016-08-02 00:00:00"
5,16058,1186,1,"2012-10-27 00:00:00"
6,14791,504,3,"2016-05-22 00:00:00"
7,12990,396,2,"2016-02-03 00:00:00"
8,10997,1435,3,"2018-12-09 00:00:00"
9,15497,956,4,"2017-08-18 00:00:00"
10,19892,1602,2,"2019-05-24 00:00:00"
11,12509,1508,4,"2019-02-21 00:00:00"
12,18342,260,2,"2015-09-20 00:00:00"
13,19707,1501,3,"2019-02-13 00:00:00"
14,10202,305,1,"2015-11-03 00:00:00"
15,16396,1518,2,"2019-03-01 00:00:00"
16,13308,936,1,"2017-07-26 00:00:00"
17,20860,1465,1,"2019-01-06 00:00:00"
18,16723,979,2,"2017-09-08 00:00:00"
19,13428,872,1,"2017-05-23 00:00:00"
20,21045,1361,4,"2018-09-27 00:00:00"
21,11131,1023,4,"2013-01-21 00:00:00"
22,11079,354,4,"2015-12-25 00:00:00"
23,13799,499,2,"2016-05-16 00:00:00"
24,13241,1114,3,"2018-01-22 00:00:00"
25,10899,242,4,"2015-09-04 00:00:00"
26,18581,1766,4,"2010-02-10 00:00:00"
27,17322,1789,1,"2019-11-26 00:00:00"
28,16909,332,2,"2015-12-01 00:00:00"
29,16153,1775,4,"2019-11-15 00:00:00"
30,19800,390,4,"2016-01-30 00:00:00"
31,20704,1778,4,"2019-11-18 00:00:00"
32,17242,865,4,"2017-05-19 00:00:00"
33,11949,1788,4,"2011-03-28 00:00:00"
34,16814,1007,3,"2017-10-07 00:00:00"
35,14031,547,4,"2016-07-05 00:00:00"
36,10605,25,3,"2015-01-29 00:00:00"
37,14726,1509,4,"2019-02-22 00:00:00"
38,16757,1150,4,"2018-02-28 00:00:00"
39,15690,229,4,"2015-08-22 00:00:00"
40,17464,1897,4,"2012-05-19 00:00:00"
41,12802,1764,3,"2019-11-03 00:00:00"
42,11610,479,2,"2016-04-26 00:00:00"
43,15426,403,1,"2016-02-09 00:00:00"
44,11029,1070,4,"2017-12-10 00:00:00"
45,14818,763,3,"2017-02-05 00:00:00"
46,14726,743,1,"2017-01-14 00:00:00"
47,20826,813,3,"2017-03-27 00:00:00"
48,20375,1512,4,"2019-02-25 00:00:00"
49,13298,66,3,"2015-03-11 00:00:00"
50,11337,1184,4,"2018-04-03 00:00:00"
51,20463,1811,3,"2019-12-20 00:00:00"
52,16881,39,2,"2015-02-11 00:00:00"
53,19818,379,1,"2016-01-16 00:00:00"
54,13019,1257,2,"2018-06-13 00:00:00"
55,13837,511,3,"2016-05-29 00:00:00"
56,12643,1908,2,"2020-03-25 00:00:00"
57,12426,1096,3,"2018-01-04 00:00:00"
58,14123,851,4,"2017-05-05 00:00:00"
59,10301,722,4,"2016-12-27 00:00:00"
60,17609,775,2,"2017-02-16 00:00:00"
61,13749,646,3,"2016-10-11 00:00:00"
62,12852,955,2,"2017-08-15 00:00:00"
63,11558,1102,3,"2018-01-10 00:00:00"
64,17786,944,2,"2017-08-04 00:00:00"
65,20355,1732,3,"2011-03-02 00:00:00"
66,16293,780,2,"2017-02-21 00:00:00"
67,10906,658,3,"2016-10-23 00:00:00"
68,13783,616,2,"2016-09-10 00:00:00"
69,18469,1899,4,"2020-03-18 00:00:00"
70,13674,920,2,"2017-07-11 00:00:00"
71,17888,1280,2,"2018-07-06 00:00:00"
72,15541,1417,1,"2018-11-19 00:00:00"
73,11228,1770,2,"2019-11-08 00:00:00"
74,19888,457,4,"2016-04-06 00:00:00"
75,13021,818,3,"2017-04-01 00:00:00"
76,15198,1608,4,"2019-06-01 00:00:00"
77,18550,1888,3,"2020-03-06 00:00:00"
78,12392,1177,2,"2018-03-25 00:00:00"
79,19562,1294,4,"2018-07-22 00:00:00"
80,16486,1758,3,"2011-05-21 00:00:00"
81,16944,1126,4,"2018-02-04 00:00:00"
82,18066,1031,1,"2017-10-29 00:00:00"
83,17437,954,2,"2017-08-14 00:00:00"
84,16788,1289,2,"2011-01-21 00:00:00"
85,17300,1653,2,"2019-07-14 00:00:00"
86,18552,1374,4,"2010-08-10 00:00:00"
87,11961,3,2,"2015-01-06 00:00:00"
88,16189,918,4,"2017-07-11 00:00:00"
89,17854,407,3,"2016-02-15 00:00:00"
90,13261,91,1,"2015-04-03 00:00:00"
91,18609,1252,3,"2018-06-09 00:00:00"
92,16937,672,1,"2016-11-04 00:00:00"
93,14698,605,3,"2016-08-31 00:00:00"
94,16658,111,1,"2015-04-23 00:00:00"
95,15599,1793,1,"2019-11-30 00:00:00"
96,20848,1713,3,"2019-09-13 00:00:00"
97,11096,1721,3,"2019-09-21 00:00:00"
98,13335,1628,3,"2019-06-20 00:00:00"
99,19464,1454,1,"2018-12-26 00:00:00"
100,10251,499,3,"2016-05-17 00:00:00"
101,19298,993,2,"2017-09-22 00:00:00"
102,10424,1255,2,"2018-06-11 00:00:00"
103,10509,708,4,"2016-12-13 00:00:00"
104,15998,1901,4,"2020-03-20 00:00:00"
105,19574,955,4,"2017-08-17 00:00:00"
106,11623,1797,1,"2019-12-04 00:00:00"
107,14648,1213,1,"2010-08-27 00:00:00"
108,13119,1288,2,"2018-07-14 00:00:00"
109,20079,809,1,"2017-03-21 00:00:00"
110,20892,1236,4,"2018-05-25 00:00:00"
111,16040,1025,2,"2017-10-24 00:00:00"
112,14190,931,1,"2017-07-21 00:00:00"
113,12164,416,4,"2013-09-17 00:00:00"
114,16604,715,4,"2016-12-20 00:00:00"
115,11966,54,3,"2015-02-27 00:00:00"
116,15942,438,2,"2016-03-16 00:00:00"
117,12821,1819,3,"2010-04-27 00:00:00"
118,12801,3,4,"2015-01-08 00:00:00"
119,14830,96,3,"2015-04-10 00:00:00"
120,10741,443,1,"2016-03-20 00:00:00"
121,17824,957,2,"2017-08-17 00:00:00"
122,17601,305,3,"2015-11-05 00:00:00"
123,17676,639,3,"2016-10-04 00:00:00"
124,20210,86,2,"2015-03-30 00:00:00"
125,15224,1774,4,"2019-11-14 00:00:00"
126,20809,1582,1,"2010-11-24 00:00:00"
127,13899,1232,3,"2018-05-20 00:00:00"
128,12719,1688,3,"2011-01-15 00:00:00"
129,17855,914,2,"2017-07-05 00:00:00"
130,16826,835,1,"2017-04-16 00:00:00"
131,17004,229,3,"2015-08-21 00:00:00"
132,10374,967,2,"2017-08-27 00:00:00"
133,14871,1802,4,"2019-12-12 00:00:00"
134,14871,27,4,"2015-02-01 00:00:00"
135,11313,1447,4,"2018-12-22 00:00:00"
136,13744,1488,1,"2019-01-29 00:00:00"
137,19111,1797,3,"2010-03-07 00:00:00"
138,13806,1002,3,"2017-10-02 00:00:00"
139,18347,1230,1,"2018-05-16 00:00:00"
140,15667,618,3,"2016-09-13 00:00:00"
141,19739,1365,1,"2018-09-28 00:00:00"
142,14175,1257,3,"2018-06-14 00:00:00"
143,16882,1112,3,"2010-05-20 00:00:00"
144,17261,1380,1,"2018-10-13 00:00:00"
145,20411,1872,2,"2020-02-18 00:00:00"
146,16589,1309,2,"2018-08-04 00:00:00"
147,17246,1027,3,"2017-10-27 00:00:00"
148,13641,1331,1,"2018-08-25 00:00:00"
149,12131,109,3,"2015-04-23 00:00:00"
150,19244,843,2,"2017-04-25 00:00:00"
151,18250,1577,1,"2019-04-28 00:00:00"
152,18956,1384,4,"2018-10-20 00:00:00"
153,12464,512,4,"2016-05-31 00:00:00"
154,12688,560,1,"2016-07-15 00:00:00"
155,18442,929,3,"2017-07-21 00:00:00"
156,11727,1209,1,"2018-04-25 00:00:00"
157,15425,1464,2,"2019-01-06 00:00:00"
158,14317,1623,4,"2019-06-16 00:00:00"
159,18981,1209,3,"2018-04-27 00:00:00"
160,11439,1282,3,"2018-07-09 00:00:00"
161,16477,30,1,"2015-02-01 00:00:00"
162,20934,712,4,"2016-12-17 00:00:00"
163,12638,1227,3,"2010-01-19 00:00:00"
164,19192,975,1,"2017-09-03 00:00:00"
165,10629,717,2,"2016-12-20 00:00:00"
166,10001,1250,4,"2018-06-08 00:00:00"
167,10001,1912,1,"2020-03-28 00:00:00"
168,10001,1080,1,"2017-12-17 00:00:00"
169,10001,800,3,"2017-03-14 00:00:00"
170,10001,617,3,"2016-09-12 00:00:00"
171,10001,1207,3,"2018-04-25 00:00:00"
172,10001,1386,4,"2018-10-22 00:00:00"
173,10001,261,1,"2015-09-20 00:00:00"
