track_id,title,artist,genre,release_year,danceability,duration,popularity
1,Sunrise,"Norah Jones","adult standards",2004,53,201,71
2,"Black Night","Deep Purple","album rock",2000,50,207,39
3,"Clint Eastwood",Gorillaz,"alternative hip hop",2001,66,341,69
4,"The Pretender","Foo Fighters","alternative metal",2007,43,269,76
5,"Waitin' On A Sunny Day","Bruce Springsteen","classic rock",2002,58,256,59
6,"The Road Ahead (Miles Of The Unknown)","City To City","alternative pop rock",2004,54,247,45
7,"She Will Be Loved","Maroon 5",pop,2002,71,257,74
8,"Knights of Cydonia",Muse,"modern rock",2006,37,366,69
9,"Mr. Brightside","The Killers","modern rock",2004,36,223,77
10,"Without Me",Eminem,"detroit hip hop",2002,91,290,82
11,"Love Me Tender","Elvis Presley","adult standards",2002,44,162,49
12,"Seven Nation Army","The White Stripes","alternative rock",2003,74,232,74
13,"Als Het Golft","De Dijk","dutch indie",2000,54,214,34
14,"I'm going home","Ten Years After","album rock",2005,38,639,26
15,"Fluorescent Adolescent","Arctic Monkeys","garage rock",2007,65,173,66
16,"Zonder Jou","Paul de Leeuw","dutch cabaret",2006,42,236,48
17,"Speed of Sound",Coldplay,"permanent wave",2005,52,288,69
18,Uninvited,"Alanis Morissette","alternative rock",2005,38,276,57
19,Music,"John Miles","classic uk pop",2004,27,352,46
20,"Cry Me a River","Justin Timberlake","dance pop",2002,62,288,74
21,"Fix You",Coldplay,"permanent wave",2005,21,296,81
22,"The Cave","Mumford & Sons","modern folk rock",2009,60,218,67
23,"Als De Morgen Is Gekomen","Jan Smit","dutch pop",2006,63,176,55
24,"Somebody Told Me","The Killers","modern rock",2004,51,197,69
25,"Dichterbij Dan Ooit",BLØF,"dutch pop",2002,65,261,16
26,Miracle,"Ilse DeLange","dutch americana",2008,55,270,50
27,"Smokers Outside the Hospital Doors",Editors,"alternative dance",2007,53,298,56
28,"Cleanin' Out My Closet",Eminem,"detroit hip hop",2002,91,298,71
29,"Der Weg","Herbert Grönemeyer","german pop",2008,34,259,48
30,"7 Seconds (feat. Neneh Cherry)","Youssou N'Dour",afropop,2004,68,306,59
31,"The Scientist",Coldplay,"permanent wave",2002,56,310,84
32,"Big Log - 2006 Remaster","Robert Plant","album rock",2007,56,306,57
33,"Chasing Pavements",Adele,"british soul",2008,62,211,63
34,"Don't Know Why","Norah Jones","adult standards",2002,73,186,74
35,"Tears Dry On Their Own","Amy Winehouse","british soul",2006,64,185,72
36,"The Eyes of Jenny","Sandy Coast","classic uk pop",2009,68,264,44
37,Iris,"The Goo Goo Dolls","alternative rock",2007,29,290,75
38,"The Saints Are Coming",U2,"irish rock",2006,32,202,40
39,"All My Life","Foo Fighters","alternative metal",2002,58,263,72
40,"De Weg","Guus Meeuwis","dutch pop",2005,46,266,42
41,"Don't Let Me Be Misunderstood","Santa Esmeralda",disco,2003,67,629,59
42,"Traffic - Radio Edit",Tiësto,"big room",2009,71,177,53
43,"Take Me Out","Franz Ferdinand","alternative rock",2004,28,237,74
44,"American Idiot","Green Day","modern rock",2004,38,176,78
45,"Breaking the Habit","Linkin Park","alternative metal",2003,58,197,65
46,"Come Undone","Robbie Williams","dance pop",2002,38,278,56
47,"Sweet Jane","Lou Reed","art rock",2008,83,331,43
48,Run,"Snow Patrol","irish rock",2004,37,355,65
49,"You're The First, The Last, My Everything","Barry White","adult standards",2009,64,213,67
50,"The Day After Tomorrow",Saybia,"danish pop rock",2005,46,234,51
51,"Just Breathe","Pearl Jam","alternative rock",2009,47,216,69
52,"Dansen Aan Zee",BLØF,"dutch pop",2000,35,275,52
53,"Goodbye My Lover","James Blunt","neo mellow",2005,43,259,69
54,"The Unforgiven III",Metallica,"alternative metal",2008,30,467,52
55,Hurt,"Christina Aguilera","dance pop",2006,33,243,67
56,"Grounds for Divorce",Elbow,britpop,2009,52,219,43
57,"Sometimes You Can't Make It On Your Own",U2,"irish rock",2004,53,305,57
58,"Listen (From the Motion Picture "Dreamgirls")",Beyoncé,"dance pop",2006,48,218,44
59,"I Want It That Way","Backstreet Boys","boy band",2001,69,214,77
60,"Goin To The Run","Golden Earring","album rock",2008,47,236,38
61,"De Neus Umhoeg","Rowwen Hèze","carnaval limburg",2005,62,215,32
62,"Solitary Man","Johnny Cash","arkansas country",2000,44,144,47
63,Smoorverliefd,"Doe Maar","dutch cabaret",2008,70,195,48
64,"Me Gustas Tu","Manu Chao","latin alternative",2001,66,240,70
65,Kryptonite,"3 Doors Down","alternative metal",2000,55,234,77
66,Crazy,Seal,"british soul",2004,63,357,63
67,"Family Portrait",P!nk,"dance pop",2001,76,297,56
68,"In The Army Now","Status Quo","album rock",2002,68,281,59
69,"I Surrender",Saybia,"danish pop rock",2004,28,219,55
70,"Maybe Tomorrow",Stereophonics,britpop,2003,50,273,64
71,"Make You Feel My Love",Adele,"british soul",2008,55,212,73
72,"No One Knows","Queens of the Stone Age","alternative metal",2002,51,279,65
73,"Where Do You Go To (My Lovely) - Re-Recorded","Peter Sarstedt","british folk",2008,56,288,58
74,"The Wild Rover","The Dubliners",celtic,2008,30,249,46
75,"Little Lion Man","Mumford & Sons","modern folk rock",2009,52,247,67
76,"Dirty Diana","Michael Jackson",pop,2003,75,281,55
77,"Ne me quitte pas","Jacques Brel",chanson,2004,42,229,58
78,"Sad Man's Tongue",Volbeat,"alternative metal",2007,43,186,57
79,"Wat Zou Je Doen - Live","Marco Borsato","dutch cabaret",2006,66,229,30
80,"One Day Like This",Elbow,britpop,2009,43,394,45
81,Bagagedrager,Spinvis,"dutch indie",2002,50,375,45
82,"Wêr Bisto",Twarres,"dutch pop",2001,52,226,48
83,"Only Time",Enya,celtic,2000,42,219,70
84,"Sorry Seems To Be The Hardest Word",Blue,"boy band",2004,56,210,58
85,"Self Esteem","The Offspring","alternative metal",2005,46,258,72
86,"Aanzoek Zonder Ringen",BLØF,"dutch pop",2006,55,283,42
87,"Modern World",Anouk,"dutch indie",2007,70,210,42
88,Rosie,"Claw Boys Claw","dutch indie",2007,59,264,43
89,"This Is Not America - 2002 Remaster","David Bowie","album rock",2002,72,231,43
90,"Times Like These","Foo Fighters","alternative metal",2002,38,266,65
91,"De Vondeling Van Ameland","Boudewijn de Groot","dutch indie",2007,39,306,19
92,"I'm Gonna Be (500 Miles)","The Proclaimers","celtic rock",2003,85,219,74
93,"Afscheid Nemen Bestaat Niet","Marco Borsato","dutch cabaret",2006,40,240,49
94,"Blauwe Ruis",BLØF,"dutch pop",2002,52,268,41
95,"Limburg - Live","Rowwen Hèze","carnaval limburg",2008,23,403,32
96,"21 Guns","Green Day","modern rock",2009,27,321,75
97,"Valerie (feat. Amy Winehouse) - Version Revisited","Mark Ronson","dance pop",2007,70,219,62
98,Blaosmuziek,"Gé Reinders","carnaval limburg",2005,27,232,38
99,Binnen,"Marco Borsato","dutch cabaret",2002,50,275,30
100,"Motorcycle Emptiness","Manic Street Preachers","alternative rock",2002,53,306,39
101,"In the End","Linkin Park","alternative metal",2000,56,217,83
102,"Halt mich","Herbert Grönemeyer","german pop",2008,29,207,44
103,Girl,Anouk,"dutch indie",2004,67,211,56
104,"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984","Bruce Springsteen","classic rock",2003,32,308,40
105,"Ik Wou Dat Ik Jou Was","Veldhuis & Kemper","dutch cabaret",2003,36,237,58
106,"Empire State of Mind (Part II) Broken Down","Alicia Keys","hip pop",2009,48,216,75
107,"Numb / Encore",JAY-Z,"east coast hip hop",2004,69,206,75
108,"Ben Ik Te Min",Armand,"dutch rock",2009,62,208,47
109,"All Summer Long","Kid Rock","alternative metal",2007,70,298,72
110,"Forever Autumn","Jeff Wayne","classic uk pop",2007,35,273,41
111,"Waiting On the World to Change","John Mayer","neo mellow",2006,58,201,74
112,"Everybody's Changing",Keane,"modern rock",2004,52,215,54
113,"How to Save a Life","The Fray","modern rock",2005,64,263,80
114,"Bloed, Zweet En Tranen","Andre Hazes","dutch pop",2002,60,242,59
115,"Lose Yourself - From "8 Mile" Soundtrack",Eminem,"detroit hip hop",2005,69,326,77
116,"Europa (Earth's Cry Heaven's Smile)",Santana,"blues rock",2007,30,306,59
117,"Feeling Good",Muse,"modern rock",2001,35,199,51
118,"Harder, Better, Faster, Stronger","Daft Punk",electro,2001,82,225,71
119,"Use Somebody","Kings of Leon","modern rock",2008,28,231,76
