state_id,state_name
1,Alabama
2,Alaska
3,Arizona
4,Arkansas
5,California
6,Colorado
7,Connecticut
8,Delaware
9,Florida
10,Georgia
11,Hawaii
12,Idaho
13,Illinois
14,Indiana
15,Iowa
16,Kansas
17,Kentucky
18,Louisiana
19,Maine
20,Maryland
21,Massachusetts
22,Michigan
23,Minnesota
24,Mississippi
25,Missouri
26,Montana
27,Nebraska
28,Nevada
29,New
30,New
31,New
32,New
33,North
34,North
35,Ohio
36,Oklahoma
37,Oregon
38,Pennsylvania
39,Rhode
40,South
41,South
42,Tennessee
43,Texas
44,Utah
45,Vermont
46,Virginia
47,Washington
48,West
49,Wisconsin
50,Wyoming
