job id,job title 1,job title 2,published date,removed date,SALARY ESTIMATE,COMPANY_NAME,COMPANY_RANK,STATE_OF_COMPANY,HEADQUARTERS_OF_COMPANY,COMPANY_SIZE,COMPANY_MARKET_VALUE
1,Administrative,Assistant II,2020-05-27 15:29:13,2020-07-04 15:29:13,67K-143K,Kwilith,5.0,          Virginia         ,Arlington,40.0 to 68.0 employees,734.2857142857142
2,Software,Engineer II,2020-04-28 16:39:35,2020-07-20 16:39:35,31K-180K,Photojam,6.0,          Florida         ,Cape Coral,50.0 to 85.0 employees,770.0
3,Physical,Therapy Assistant,2016-10-14 10:24:03,2016-12-18 10:24:03,50K-121K,Gabvine,5.0,          Colorado         ,,40.0 to 68.0 employees,734.2857142857142
4,Research,Assistant I,2016-11-14 04:18:12,2017-01-21 04:18:12,40K-182K,Lajo,2.0,          Texas         ,Abilene,10.0 to 17.0 employees,520.0
5,Assistant,Professor,2018-02-25 06:44:02,2018-04-22 06:44:02,16K-185K,Avaveo,4.0,          Texas         ,Austin,30.0 to 51.0 employees,686.6666666666666
6,Database,Administrator II,2019-02-14 14:00:53,2019-03-05 14:00:53,18K-104K,Brainverse,8.0,          Illinois         ,Peoria,70.0 to 119.0 employees,820.0
7,Account,Coordinator,2018-07-27 10:17:18,2018-08-01 10:17:18,93K-106K,Linklinks,7.0,          Florida         ,Miami,60.0 to 102.0 employees,797.7777777777777
8,Associate,Professor,2016-05-03 02:56:17,2016-07-03 02:56:17,50K-196K,Tazzy,3.0,          Ohio         ,Cleveland,20.0 to 34.0 employees,620.0
9,Budget/Accounting,Analyst IV,2019-11-15 07:43:27,2019-12-10 07:43:27,32K-112K,Wikizz,4.0,          Arkansas         ,North Little Rock,30.0 to 51.0 employees,686.6666666666666
10,Database,Administrator I,2017-10-01 13:19:22,2017-10-23 13:19:22,88K-157K,Linktype,6.0,          Virginia         ,Suffolk,50.0 to 85.0 employees,770.0
11,VP,Marketing,2017-08-03 02:32:01,2017-08-07 02:32:01,49K-172K,Mybuzz,4.0,          Virginia         ,Virginia Beach,30.0 to 51.0 employees,686.6666666666666
12,Nurse,,2016-10-13 17:47:31,2016-12-14 17:47:31,73K-182K,Shuffledrive,10.0,          Arizona         ,Phoenix,90.0 to 153.0 employees,853.3333333333335
13,Account,Coordinator,2020-08-25 07:23:03,2020-11-10 07:23:03,91K-198K,Skalith,5.0,          Florida         ,West Palm Beach,40.0 to 68.0 employees,734.2857142857142
14,Sales,Associate,2020-10-30 15:37:50,2021-01-31 15:37:50,86K-200K,Eabox,3.0,          Arkansas         ,North Little Rock,20.0 to 34.0 employees,620.0
15,Quality,Engineer,2017-08-14 04:20:43,2017-09-19 04:20:43,72K-113K,Gigaclub,6.0,          Missouri         ,Kansas City,50.0 to 85.0 employees,770.0
16,Research,Nurse,2019-02-02 05:05:24,2019-04-12 05:05:24,26K-132K,Edgeclub,6.0,          Ohio         ,Cincinnati,50.0 to 85.0 employees,770.0
17,Systems,Administrator III,2016-03-10 15:56:12,2016-05-05 15:56:12,85K-114K,Roomm,3.0,          Texas         ,Dallas,20.0 to 34.0 employees,620.0
18,Speech,Pathologist,2019-11-14 11:36:19,2019-11-30 11:36:19,89K-172K,Realbuzz,6.0,          Texas         ,El Paso,50.0 to 85.0 employees,770.0
19,Executive,Secretary,2020-03-13 16:11:53,2020-06-10 16:11:53,36K-108K,Skippad,5.0,          District of Columbia         ,Washington,40.0 to 68.0 employees,734.2857142857142
20,Account,Representative III,2016-10-25 16:43:40,2017-02-02 16:43:40,92K-155K,Devbug,4.0,          Connecticut         ,Hartford,30.0 to 51.0 employees,686.6666666666666
21,Human,Resources Manager,2021-01-17 13:55:42,2021-03-08 13:55:42,87K-129K,Abatz,3.0,          Utah         ,Salt Lake City,20.0 to 34.0 employees,620.0
22,Registered,Nurse,2020-04-13 09:37:09,2020-05-23 09:37:09,30K-173K,Twitterlist,9.0,          Nevada         ,Carson City,80.0 to 136.0 employees,838.1818181818182
