datetime,city,state,country,shape,duration_seconds
1949-10-10 20:30:00,san marcos,tx,us,cylinder,2700.0
1949-10-10 21:00:00,lackland afb,tx,,light,7200.0
1955-10-10 17:00:00,chester (uk/england),,gb,circle,20.0
1956-10-10 21:00:00,edna,tx,us,circle,20.0
1960-10-10 20:00:00,kaneohe,hi,us,light,900.0
1961-10-10 19:00:00,bristol,tn,us,sphere,300.0
1965-10-10 21:00:00,penarth (uk/wales),,gb,circle,180.0
1965-10-10 23:45:00,norwalk,ct,us,disk,1200.0
1966-10-10 20:00:00,pell city,al,us,disk,180.0
1966-10-10 21:00:00,live oak,fl,us,disk,120.0
1968-10-10 13:00:00,hawthorne,ca,us,circle,300.0
1968-10-10 19:00:00,brevard,nc,us,fireball,180.0
1970-10-10 16:00:00,bellmore,ny,us,disk,1800.0
1970-10-10 19:00:00,manchester,ky,us,unknown,180.0
1971-10-10 21:00:00,lexington,nc,us,oval,30.0
1972-10-10 19:00:00,harlan county,ky,us,circle,1200.0
1972-10-10 22:30:00,west bloomfield,mi,us,disk,120.0
1973-10-10 19:00:00,niantic,ct,us,disk,1800.0
1973-10-10 23:00:00,bermuda nas,,,light,20.0
1974-10-10 19:30:00,hudson,ma,us,other,2700.0
1974-10-10 21:30:00,cardiff (uk/wales),,gb,disk,1200.0
1974-10-10 23:00:00,hudson,ks,us,light,1200.0
1975-10-10 17:00:00,north charleston,sc,us,light,360.0
1976-10-10 20:30:00,washougal,wa,us,oval,60.0
1976-10-10 22:00:00,stoke mandeville (uk/england),,gb,cigar,3.0
1977-10-10 12:00:00,san antonio,tx,us,other,30.0
1977-10-10 22:00:00,louisville,ky,us,light,30.0
1978-10-10 02:00:00,elmont,ny,us,rectangle,300.0
1979-10-10 00:00:00,poughkeepsie,ny,us,chevron,900.0
1979-10-10 22:00:00,saddle lake (canada),ab,,triangle,270.0
1979-10-10 22:00:00,san diego,ca,us,oval,180.0
1979-10-10 22:00:00,security,co,us,unknown,1800.0
1980-10-10 19:00:00,houston,tx,us,sphere,180.0
1980-10-10 22:00:00,dallas,tx,us,unknown,300.0
1980-10-10 23:30:00,manchester,nh,us,light,300.0
1982-10-10 07:00:00,gisborne (new zealand),,,disk,120.0
1984-10-10 05:00:00,houston,tx,us,circle,60.0
1984-10-10 12:00:00,traverse city,mi,us,other,120.0
1984-10-10 22:00:00,white plains,ny,us,formation,20.0
1985-10-10 20:25:00,leeds (uk/england),,gb,triangle,600.0
1986-10-10 20:00:00,holmes/pawling,ny,,chevron,180.0
1988-10-10 18:00:00,milwaukee,wi,us,triangle,600.0
1988-10-10 21:00:00,new gloucester,me,us,unknown,120.0
1988-10-10 22:00:00,boulder,co,us,light,60.0
